Task,Model,R2,RMSE,MAE,Training_Time,Test_Samples,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE,Train_Samples
Random_500,RandomForest,0.9998321297360051,0.0021494009997476433,0.0011846317770083082,0.17592358589172363,100,,,,,,
Random_500,XGBoost,0.9985164964994871,0.0063896173039423125,0.003260009036736558,0.03579998016357422,100,,,,,,
Random_500,LightGBM,0.9951720021291901,0.011526941651221732,0.005268152583995089,0.13156890869140625,100,,,,,,
85_15_Split,RandomForest,,,,0.8514058589935303,427,0.9996109907829449,0.000469951300657641,0.999965829971454,0.0010086831338394738,0.00030285412887910517,2417.0
85_15_Split,XGBoost,,,,0.048836708068847656,427,0.9986410033589479,0.0006766160475665309,0.999455206990922,0.004027614087570815,0.0015615030929978283,2417.0
85_15_Split,LightGBM,,,,0.05681014060974121,427,0.9975308975817843,0.0010665874570747861,0.9993391323607991,0.00443597746632265,0.0015062147734917282,2417.0
