model,config_id,config,cv_mean,cv_std,test_r2,test_mse,test_mae
RandomForest,1,"{'n_estimators': 50, 'max_depth': 5, 'min_samples_split': 2, 'random_state': 42}",0.9989271981284601,0.00012335468496928284,0.9990214514769824,387.0064957902552,13.410814993973272
RandomForest,2,"{'n_estimators': 100, 'max_depth': 7, 'min_samples_split': 2, 'random_state': 42}",0.9999441893045443,1.1876544866582004e-05,0.9999304419988274,27.509518081911793,1.9719278127108093
RandomForest,3,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 3, 'random_state': 42}",0.9999785802661508,1.8097280435922466e-05,0.9999484259601934,20.39703494491299,0.2831179757624243
RandomForest,4,"{'n_estimators': 150, 'max_depth': 8, 'min_samples_split': 2, 'random_state': 42}",0.9999736822153871,1.797589941772628e-05,0.9999425695102325,22.713204377306692,0.8750626745739704
RandomForest,5,"{'n_estimators': 200, 'max_depth': 6, 'min_samples_split': 4, 'random_state': 42}",0.9998128326291026,2.3148034455028704e-05,0.9998123229186975,74.22447417428633,4.932150469279495
RandomForest,6,"{'n_estimators': 200, 'max_depth': 12, 'min_samples_split': 2, 'random_state': 42}",0.9999781382940958,2.1344270932462877e-05,0.9999539494473562,18.212549085378463,0.24308882460565792
RandomForest,7,"{'n_estimators': 300, 'max_depth': 9, 'min_samples_split': 3, 'random_state': 42}",0.9999773101441033,2.009609254270074e-05,0.9999520411695024,18.967254557617895,0.41556402997406894
RandomForest,8,"{'n_estimators': 100, 'max_depth': 15, 'min_samples_split': 5, 'random_state': 42}",0.9999781717093434,2.0621406429592053e-05,0.9999472809234144,20.849885938993943,0.27483544707868984
RandomForest,9,"{'n_estimators': 150, 'max_depth': 4, 'min_samples_split': 2, 'random_state': 42}",0.9948789026560577,0.0004724815841122167,0.9954834137102164,1786.2662829975177,29.603630570330672
RandomForest,10,"{'n_estimators': 250, 'max_depth': 7, 'min_samples_split': 2, 'random_state': 42}",0.9999451470399295,1.2422941283283676e-05,0.9999278205552647,28.54627370845725,1.9650119906181307
