model,config_id,config,cv_mean,cv_std,test_r2,test_mse,test_rmse,test_mae,training_time,n_samples,n_features
RandomForest,1,"{'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 2, 'random_state': 42, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': False}",0.36755461078780477,0.02490823824265262,0.3562776892039784,0.02140265818234565,0.14629647358137396,0.11032832066206504,0.044835805892944336,2660,13
RandomForest,2,"{'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 3, 'random_state': 42, 'bootstrap': True}",0.44831827304942584,0.03478212472684957,0.487528545919927,0.017038793243506194,0.13053272862966664,0.09811116168092832,0.08975791931152344,2660,13
RandomForest,3,"{'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 4, 'random_state': 42, 'bootstrap': True}",0.44831827304942584,0.03478212472684957,0.487528545919927,0.017038793243506194,0.13053272862966664,0.09811116168092832,0.08571529388427734,2660,13
RandomForest,4,"{'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 5, 'random_state': 42, 'bootstrap': True}",0.44831827304942584,0.03478212472684957,0.487528545919927,0.017038793243506194,0.13053272862966664,0.09811116168092832,0.08878588676452637,2660,13
RandomForest,5,"{'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 6, 'random_state': 42, 'bootstrap': True}",0.44831827304942584,0.03478212472684957,0.487528545919927,0.017038793243506194,0.13053272862966664,0.09811116168092832,0.08613944053649902,2660,13
RandomForest,6,"{'n_estimators': 50, 'max_depth': 4, 'min_samples_split': 2, 'random_state': 42, 'bootstrap': True}",0.5199072667296333,0.030796290631019463,0.5480321358706363,0.015027153080034893,0.12258528900335021,0.08980167382152303,0.10916590690612793,2660,13
RandomForest,7,"{'n_estimators': 50, 'max_depth': 4, 'min_samples_split': 3, 'random_state': 42, 'bootstrap': True}",0.5199538835001389,0.03079031705571853,0.5480321358706363,0.015027153080034893,0.12258528900335021,0.08980167382152303,0.11177515983581543,2660,13
RandomForest,8,"{'n_estimators': 50, 'max_depth': 4, 'min_samples_split': 4, 'random_state': 42, 'bootstrap': True}",0.520147732686357,0.030740155460658936,0.5480352788590483,0.015027048581083209,0.1225848627730325,0.08980559697055261,0.11609029769897461,2660,13
RandomForest,9,"{'n_estimators': 50, 'max_depth': 4, 'min_samples_split': 5, 'random_state': 42, 'bootstrap': True}",0.5201403063996619,0.030761159786663054,0.5479850932171646,0.015028717167243555,0.1225916684250751,0.0898361026735179,0.10763859748840332,2660,13
RandomForest,10,"{'n_estimators': 50, 'max_depth': 4, 'min_samples_split': 6, 'random_state': 42, 'bootstrap': True}",0.5200781273728771,0.030773708963313162,0.5479850932171646,0.015028717167243555,0.1225916684250751,0.0898361026735179,0.10756492614746094,2660,13
RandomForest,11,"{'n_estimators': 50, 'max_depth': 5, 'min_samples_split': 2, 'random_state': 42, 'min_samples_leaf': 3, 'bootstrap': True}",0.5840080019512162,0.02395257849068347,0.5955488674464566,0.013447303590894213,0.11596250941961464,0.08308818635630927,0.12758779525756836,2660,13
RandomForest,12,"{'n_estimators': 50, 'max_depth': 5, 'min_samples_split': 3, 'random_state': 42, 'bootstrap': True}",0.5837307561170724,0.02391820760968884,0.5946851271918169,0.01347602146678316,0.1160862673479648,0.08306935576887513,0.12949633598327637,2660,13
RandomForest,13,"{'n_estimators': 50, 'max_depth': 5, 'min_samples_split': 4, 'random_state': 42, 'bootstrap': True}",0.5839792643476539,0.023878754770016476,0.5946545034231403,0.013477039654349827,0.11609065274323263,0.08306822693647706,0.12959957122802734,2660,13
RandomForest,14,"{'n_estimators': 50, 'max_depth': 5, 'min_samples_split': 5, 'random_state': 42, 'bootstrap': True}",0.5841113363256396,0.024043014477820673,0.5946944490647779,0.013475711530561815,0.11608493240107355,0.08303301771962195,0.1271209716796875,2660,13
RandomForest,15,"{'n_estimators': 50, 'max_depth': 5, 'min_samples_split': 6, 'random_state': 42, 'bootstrap': True}",0.5840047236672008,0.02420935517818708,0.5947160224180007,0.013474994253721893,0.11608184291146438,0.08304188795198575,0.1265702247619629,2660,13
RandomForest,16,"{'n_estimators': 50, 'max_depth': 6, 'min_samples_split': 2, 'random_state': 42, 'max_features': 0.4, 'bootstrap': True}",0.6403286612877136,0.020178634627477772,0.6445959931901921,0.011816571131393781,0.10870405296673064,0.07938979278517935,0.08795285224914551,2660,13
RandomForest,17,"{'n_estimators': 50, 'max_depth': 6, 'min_samples_split': 3, 'random_state': 42, 'bootstrap': True}",0.6387435476441143,0.024305059130183427,0.6466636920611885,0.011747823705030335,0.10838737797838979,0.07622444622413158,0.15444540977478027,2660,13
RandomForest,18,"{'n_estimators': 50, 'max_depth': 6, 'min_samples_split': 4, 'random_state': 42, 'bootstrap': True}",0.6389808216200124,0.02402890414275442,0.6467321372939954,0.011745548018919402,0.1083768795404232,0.07624400226077196,0.15846824645996094,2660,13
RandomForest,19,"{'n_estimators': 50, 'max_depth': 6, 'min_samples_split': 5, 'random_state': 42, 'bootstrap': True}",0.6386064068881978,0.024291801731750884,0.6464720310415986,0.011754196103843248,0.10841677039943243,0.07622085610192707,0.15256214141845703,2660,13
RandomForest,20,"{'n_estimators': 50, 'max_depth': 6, 'min_samples_split': 6, 'random_state': 42, 'bootstrap': True}",0.6384040420643212,0.024240034555332433,0.646444951880245,0.011755096439321133,0.1084209225164642,0.07621409318074067,0.15341544151306152,2660,13
RandomForest,21,"{'n_estimators': 50, 'max_depth': 7, 'min_samples_split': 2, 'random_state': 42, 'min_samples_leaf': 5, 'bootstrap': True}",0.6740063704121523,0.026011788851742046,0.6856176621971191,0.010452671286538496,0.10223830635597646,0.07135655970263607,0.16950511932373047,2660,13
RandomForest,22,"{'n_estimators': 50, 'max_depth': 7, 'min_samples_split': 3, 'random_state': 42, 'bootstrap': True}",0.6851691449309939,0.024812929771657964,0.6932682122010194,0.01019830367507892,0.10098665097466555,0.0706359345632281,0.18237543106079102,2660,13
RandomForest,23,"{'n_estimators': 50, 'max_depth': 7, 'min_samples_split': 4, 'random_state': 42, 'bootstrap': True}",0.6850045567139305,0.024370744948673098,0.6928128250465373,0.01021344451367431,0.10106158772587293,0.07070817527196606,0.18139171600341797,2660,13
RandomForest,24,"{'n_estimators': 50, 'max_depth': 7, 'min_samples_split': 5, 'random_state': 42, 'bootstrap': True}",0.6844598552571279,0.02410308556113357,0.6916437539193818,0.010252314115217894,0.10125371161205843,0.07084952882397778,0.1793534755706787,2660,13
RandomForest,25,"{'n_estimators': 50, 'max_depth': 7, 'min_samples_split': 6, 'random_state': 42, 'bootstrap': True}",0.683719845638062,0.024366187183745683,0.6905089947279512,0.010290042903992406,0.10143984869858791,0.07086214899406794,0.17640924453735352,2660,13
RandomForest,26,"{'n_estimators': 50, 'max_depth': 8, 'min_samples_split': 2, 'random_state': 42, 'bootstrap': False}",0.6390496870027228,0.029991012817619903,0.6421532856917225,0.011897786948761598,0.10907697717099424,0.07482882818027677,0.24717211723327637,2660,13
RandomForest,27,"{'n_estimators': 50, 'max_depth': 8, 'min_samples_split': 3, 'random_state': 42, 'bootstrap': True}",0.7217827149816184,0.021790635517589276,0.7241210493181012,0.009172499977276488,0.09577316940185539,0.06670342844302315,0.2295224666595459,2660,13
RandomForest,28,"{'n_estimators': 50, 'max_depth': 8, 'min_samples_split': 4, 'random_state': 42, 'bootstrap': True}",0.7204618338034909,0.021843716839589408,0.7228406170780735,0.009215072144031248,0.0959951672951886,0.06708971653616128,0.22519326210021973,2660,13
RandomForest,29,"{'n_estimators': 50, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'bootstrap': True}",0.7187562583479868,0.020924320948502387,0.7216850460579249,0.00925349289026743,0.09619507726628962,0.06716259090386972,0.23420119285583496,2660,13
RandomForest,30,"{'n_estimators': 50, 'max_depth': 8, 'min_samples_split': 6, 'random_state': 42, 'bootstrap': True}",0.7176521940734891,0.02168854242018187,0.7212792107217489,0.009266986216244824,0.09626518693819082,0.06720276404332028,0.21925902366638184,2660,13
RandomForest,31,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'random_state': 42, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'bootstrap': True}",0.6537371662829511,0.022303772487351856,0.6479171551967591,0.0117061482145512,0.10819495466310432,0.07821771672180607,0.08671116828918457,2660,13
RandomForest,32,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 3, 'random_state': 42, 'bootstrap': True}",0.7565619674801157,0.016448082634507543,0.7553811908594601,0.00813315410884743,0.09018400140184195,0.06199215521641997,0.3199295997619629,2660,13
RandomForest,33,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 4, 'random_state': 42, 'bootstrap': True}",0.7538931496383289,0.015905484653809143,0.7534098613634135,0.008198697419466083,0.09054665879791525,0.06231146608330262,0.2900204658508301,2660,13
RandomForest,34,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'random_state': 42, 'bootstrap': True}",0.7514567090853181,0.015717668810071694,0.7516318778910486,0.008257812307787772,0.09087250578578634,0.06240415685191333,0.2929348945617676,2660,13
RandomForest,35,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 6, 'random_state': 42, 'bootstrap': True}",0.7490977025153285,0.01624673108405422,0.7495447065421084,0.008327207160506353,0.09125353231796758,0.0626722180195349,0.299058198928833,2660,13
RandomForest,36,"{'n_estimators': 50, 'max_depth': 12, 'min_samples_split': 2, 'random_state': 42, 'bootstrap': True}",0.7648197088892732,0.01682607871748944,0.7631731014045943,0.007874086502850215,0.08873604962387167,0.059728991133639185,4.130702018737793,2660,13
RandomForest,37,"{'n_estimators': 50, 'max_depth': 12, 'min_samples_split': 3, 'random_state': 42, 'bootstrap': True}",0.76483061783601,0.01665302433729389,0.7612446805942075,0.007938203173570222,0.08909659462387001,0.05974424530583215,0.4973175525665283,2660,13
RandomForest,38,"{'n_estimators': 50, 'max_depth': 12, 'min_samples_split': 4, 'random_state': 42, 'bootstrap': True}",0.7630223758108234,0.0146330628698832,0.762078647402373,0.007910475213499184,0.08894085233175576,0.05999574823853725,0.34707069396972656,2660,13
RandomForest,39,"{'n_estimators': 50, 'max_depth': 12, 'min_samples_split': 5, 'random_state': 42, 'bootstrap': True}",0.7605660131328259,0.0142045056978489,0.7598761415650114,0.007983704739322795,0.08935157938907848,0.06031665373630136,0.3308897018432617,2660,13
RandomForest,40,"{'n_estimators': 50, 'max_depth': 12, 'min_samples_split': 6, 'random_state': 42, 'bootstrap': True}",0.7585348151781003,0.01503844992909725,0.7585752531623712,0.008026957038253768,0.089593286792336,0.06056303180805695,0.3192782402038574,2660,13
