Task,Model,R2,RMSE,MAE,Training_Time,Test_Samples,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE,Train_Samples
Random_500,RandomForest,0.9968665153015259,0.013301033247047392,0.005862510815635277,0.12776970863342285,27,,,,,,
Random_500,XGBoost,0.9881549212206538,0.02586071729141927,0.011787121479187267,0.039945125579833984,27,,,,,,
Random_500,LightGBM,0.9079893022196716,0.07207601251356051,0.046189984314047985,0.13128042221069336,27,,,,,,
85_15_Split,RandomForest,,,,0.14051437377929688,21,0.9984596380551451,0.0014418018101598508,0.9972226966356902,0.01324016707266876,0.006259355581742655,113.0
85_15_Split,XGBoost,,,,0.02266550064086914,21,0.9929777257983264,0.009731536311562776,0.9694567547421433,0.04390756925048191,0.0189851502611221,113.0
85_15_Split,LightGBM,,,,0.01970839500427246,21,0.9270970450185558,0.03503717722363159,0.9667558883163453,0.0458077722617666,0.03032149096395201,113.0
