model,config_id,config,cv_mean,cv_std,test_r2,test_mse,test_rmse,test_mae,training_time,n_samples,n_features
RandomForest,1,"{'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 2, 'random_state': 42, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.6796662098405598,0.004727224119229597,0.6816990426903052,0.009773766030889506,0.09886235901944433,0.06994006855985206,0.055779218673706055,2844,14
RandomForest,2,"{'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 3, 'random_state': 42}",0.9804738306097726,0.0015017182370630736,0.9779721668653181,0.0006763878093410273,0.02600745680263696,0.0188360365532575,0.10425591468811035,2844,14
RandomForest,3,"{'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 5, 'random_state': 42}",0.9804738306097726,0.0015017182370630736,0.9779721668653181,0.0006763878093410273,0.02600745680263696,0.0188360365532575,0.09741473197937012,2844,14
RandomForest,4,"{'n_estimators': 50, 'max_depth': 4, 'min_samples_split': 2, 'random_state': 42}",0.9964128911214546,0.000914013050181506,0.9949093390846321,0.00015631410332514492,0.012502563870068607,0.007764139197496834,0.11661314964294434,2844,14
RandomForest,5,"{'n_estimators': 50, 'max_depth': 4, 'min_samples_split': 3, 'random_state': 42}",0.9964128911214546,0.000914013050181506,0.9949093390846321,0.00015631410332514492,0.012502563870068607,0.007764139197496834,0.11865019798278809,2844,14
RandomForest,6,"{'n_estimators': 50, 'max_depth': 4, 'min_samples_split': 5, 'random_state': 42}",0.9964128911214546,0.000914013050181506,0.9949093390846321,0.00015631410332514492,0.012502563870068607,0.007764139197496834,0.11726903915405273,2844,14
RandomForest,7,"{'n_estimators': 50, 'max_depth': 5, 'min_samples_split': 2, 'random_state': 42}",0.9991392166120943,0.00033524516443206526,0.998914955936855,3.331742039363913e-05,0.005772124426382294,0.00275913865516789,0.14461207389831543,2844,14
RandomForest,8,"{'n_estimators': 50, 'max_depth': 5, 'min_samples_split': 3, 'random_state': 42}",0.999139503761875,0.0003358347333939398,0.998914955936855,3.331742039363913e-05,0.005772124426382294,0.00275913865516789,0.1432809829711914,2844,14
RandomForest,9,"{'n_estimators': 50, 'max_depth': 5, 'min_samples_split': 5, 'random_state': 42}",0.9991304339010956,0.00037417640872010533,0.9989128221156283,3.3382941621090053e-05,0.005777797298373321,0.0027596212484238274,0.14458370208740234,2844,14
RandomForest,10,"{'n_estimators': 50, 'max_depth': 6, 'min_samples_split': 2, 'random_state': 42}",0.9997144828714987,0.00016754410514926006,0.9997548259964657,7.528325920392288e-06,0.002743779495584929,0.001149126507593909,0.17200517654418945,2844,14
RandomForest,11,"{'n_estimators': 50, 'max_depth': 6, 'min_samples_split': 3, 'random_state': 42, 'min_samples_leaf': 1}",0.9997292630119577,0.00017002065289329615,0.999747758046178,7.745354775769936e-06,0.0027830477494592033,0.0011587055774841485,0.17059087753295898,2844,14
RandomForest,12,"{'n_estimators': 50, 'max_depth': 6, 'min_samples_split': 5, 'random_state': 42}",0.9996933321312877,0.000244075803375098,0.9996472227710599,1.0832396251111146e-05,0.003291260586934913,0.00121163356196412,0.17739439010620117,2844,14
RandomForest,13,"{'n_estimators': 50, 'max_depth': 7, 'min_samples_split': 2, 'random_state': 42}",0.9998221405167016,0.00016338100907459783,0.9998713488232938,3.9503698366246095e-06,0.0019875537317578635,0.0006794953963486801,0.2136831283569336,2844,14
RandomForest,14,"{'n_estimators': 50, 'max_depth': 7, 'min_samples_split': 3, 'random_state': 42}",0.9998266446627703,0.00016048144093656447,0.9998650405449587,4.144072164842494e-06,0.0020356994289045948,0.0006950747682245269,0.21750593185424805,2844,14
RandomForest,15,"{'n_estimators': 50, 'max_depth': 7, 'min_samples_split': 5, 'random_state': 42}",0.9997712814330739,0.0002515828051770446,0.9997566734692612,7.471597323018366e-06,0.0027334222730888776,0.0007429879466634456,0.20554447174072266,2844,14
RandomForest,16,"{'n_estimators': 50, 'max_depth': 8, 'min_samples_split': 2, 'random_state': 42, 'max_features': 0.3}",0.9711703848022856,0.004993490823560451,0.9768072601174848,0.0007121574975548439,0.02668627920027151,0.01755369614140526,0.09535765647888184,2844,14
RandomForest,17,"{'n_estimators': 50, 'max_depth': 8, 'min_samples_split': 3, 'random_state': 42}",0.9998337683350943,0.00016671900969955736,0.9998816459644192,3.634185276586042e-06,0.0019063539221734359,0.0005406604907857742,0.2411503791809082,2844,14
RandomForest,18,"{'n_estimators': 50, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42}",0.999788418804523,0.0002403806864671115,0.9997713263588569,7.021664920062698e-06,0.0026498424330632753,0.0006002433279645783,0.23494434356689453,2844,14
RandomForest,19,"{'n_estimators': 80, 'max_depth': 3, 'min_samples_split': 2, 'random_state': 42}",0.980363343360065,0.0014607625499719423,0.9776715109804246,0.0006856197648450117,0.026184341978461322,0.01901373301034589,0.15319538116455078,2844,14
