model,config_id,config,cv_mean,cv_std,test_r2,test_mse,test_rmse,test_mae,training_time,n_samples,n_features
RandomForest,1,"{'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 2, 'random_state': 42, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.6796662098405598,0.004727224119229597,0.6816990426903052,0.009773766030889506,0.09886235901944433,0.06994006855985206,0.0639796257019043,2844,14
RandomForest,2,"{'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 3, 'random_state': 42}",0.9804738306097726,0.0015017182370630736,0.9779721668653181,0.0006763878093410273,0.02600745680263696,0.0188360365532575,0.10056829452514648,2844,14
RandomForest,3,"{'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 5, 'random_state': 42}",0.9804738306097726,0.0015017182370630736,0.9779721668653181,0.0006763878093410273,0.02600745680263696,0.0188360365532575,0.09670829772949219,2844,14
RandomForest,4,"{'n_estimators': 50, 'max_depth': 4, 'min_samples_split': 2, 'random_state': 42}",0.9964128911214546,0.000914013050181506,0.9949093390846321,0.00015631410332514492,0.012502563870068607,0.007764139197496834,0.1385483741760254,2844,14
RandomForest,5,"{'n_estimators': 50, 'max_depth': 4, 'min_samples_split': 3, 'random_state': 42}",0.9964128911214546,0.000914013050181506,0.9949093390846321,0.00015631410332514492,0.012502563870068607,0.007764139197496834,0.12434983253479004,2844,14
RandomForest,6,"{'n_estimators': 50, 'max_depth': 4, 'min_samples_split': 5, 'random_state': 42}",0.9964128911214546,0.000914013050181506,0.9949093390846321,0.00015631410332514492,0.012502563870068607,0.007764139197496834,0.12435245513916016,2844,14
RandomForest,7,"{'n_estimators': 50, 'max_depth': 5, 'min_samples_split': 2, 'random_state': 42}",0.9991392166120943,0.00033524516443206526,0.998914955936855,3.331742039363913e-05,0.005772124426382294,0.00275913865516789,0.15357398986816406,2844,14
RandomForest,8,"{'n_estimators': 50, 'max_depth': 5, 'min_samples_split': 3, 'random_state': 42}",0.999139503761875,0.0003358347333939398,0.998914955936855,3.331742039363913e-05,0.005772124426382294,0.00275913865516789,0.14438939094543457,2844,14
RandomForest,9,"{'n_estimators': 50, 'max_depth': 5, 'min_samples_split': 5, 'random_state': 42}",0.9991304339010956,0.00037417640872010533,0.9989128221156283,3.3382941621090053e-05,0.005777797298373321,0.0027596212484238274,0.14554905891418457,2844,14
RandomForest,10,"{'n_estimators': 50, 'max_depth': 6, 'min_samples_split': 2, 'random_state': 42}",0.9997144828714987,0.00016754410514926006,0.9997548259964657,7.528325920392288e-06,0.002743779495584929,0.001149126507593909,0.19235706329345703,2844,14
