model,config_id,config,cv_mean,cv_std,test_r2,test_mse,test_rmse,test_mae,training_time,n_samples,n_features
RandomForest,1,"{'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 2, 'random_state': 42, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.8649890701558007,0.07500259465006888,-0.1548917039707911,0.08935706847889625,0.29892652689063287,0.20568930534768762,0.03396105766296387,134,13
RandomForest,2,"{'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 3, 'random_state': 42}",0.9949551118497066,0.0031497440278840296,0.5130197664307004,0.03767896671982792,0.19411070738067984,0.11956926732529655,0.037940263748168945,134,13
RandomForest,3,"{'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 5, 'random_state': 42}",0.9948888229469599,0.00307593826088771,0.46215562441357616,0.04161446180193601,0.203996229871868,0.12648207830438715,0.036962270736694336,134,13
RandomForest,4,"{'n_estimators': 50, 'max_depth': 4, 'min_samples_split': 2, 'random_state': 42}",0.9976402281362375,0.0010685770309221362,0.5344953037856215,0.03601734679871598,0.18978236693306358,0.11535157234504606,0.0369420051574707,134,13
RandomForest,5,"{'n_estimators': 50, 'max_depth': 4, 'min_samples_split': 3, 'random_state': 42}",0.9976381063636456,0.0010175134560893946,0.5132795953931348,0.03765886305616039,0.1940589164562154,0.11831911635120108,0.03790736198425293,134,13
RandomForest,6,"{'n_estimators': 50, 'max_depth': 4, 'min_samples_split': 5, 'random_state': 42}",0.9973932248275859,0.0012509288556773579,0.46237336429836584,0.041597614683085954,0.2039549329707079,0.12520035443695066,0.03788423538208008,134,13
RandomForest,7,"{'n_estimators': 50, 'max_depth': 5, 'min_samples_split': 2, 'random_state': 42}",0.9981726460743359,0.0008331071022969379,0.5344978277665224,0.03601715151154453,0.18978185242942627,0.11514599644803011,0.04133892059326172,134,13
RandomForest,8,"{'n_estimators': 50, 'max_depth': 5, 'min_samples_split': 3, 'random_state': 42}",0.9982081876005804,0.0008303500480426674,0.5132847947480148,0.037658460768129,0.19405787994340504,0.11823518506430937,0.03893709182739258,134,13
RandomForest,9,"{'n_estimators': 50, 'max_depth': 5, 'min_samples_split': 5, 'random_state': 42}",0.9978537006349428,0.0011592965184825347,0.4623799922559463,0.04159710186023221,0.20395367577033813,0.1251083506506106,0.03939962387084961,134,13
RandomForest,10,"{'n_estimators': 50, 'max_depth': 6, 'min_samples_split': 2, 'random_state': 42}",0.9981742046245425,0.0008549414494937602,0.5345003963193065,0.03601695277572694,0.18978132883855287,0.11511189067948069,0.04091334342956543,134,13
RandomForest,11,"{'n_estimators': 50, 'max_depth': 6, 'min_samples_split': 3, 'random_state': 42, 'min_samples_leaf': 1}",0.9982829173425604,0.0007977934525628138,0.5132884047433219,0.037658181453110326,0.19405716027271533,0.11818492278191653,0.03986692428588867,134,13
RandomForest,12,"{'n_estimators': 50, 'max_depth': 6, 'min_samples_split': 5, 'random_state': 42}",0.9979126151877138,0.0011557487292244396,0.4623812843882793,0.04159700188448819,0.20395343067594668,0.12507267363100877,0.04892730712890625,134,13
RandomForest,13,"{'n_estimators': 50, 'max_depth': 7, 'min_samples_split': 2, 'random_state': 42}",0.9982622385064792,0.0008216659750858051,0.5345028251628849,0.03601676484958528,0.1897808337256038,0.11506828297539003,0.043898582458496094,134,13
RandomForest,14,"{'n_estimators': 50, 'max_depth': 7, 'min_samples_split': 3, 'random_state': 42}",0.9983066936000492,0.0008131823079053488,0.51328966114717,0.037658084241775,0.1940569098016739,0.11815523499659016,0.040930986404418945,134,13
RandomForest,15,"{'n_estimators': 50, 'max_depth': 7, 'min_samples_split': 5, 'random_state': 42}",0.9979123241349674,0.0011584563141652112,0.46238124987067764,0.04159700455520761,0.20395343722332215,0.12507349228300754,0.037874460220336914,134,13
RandomForest,16,"{'n_estimators': 50, 'max_depth': 8, 'min_samples_split': 2, 'random_state': 42, 'max_features': 0.3}",0.9530211077913912,0.03289647901917649,-0.14485775986673133,0.08858071531319496,0.2976251254736316,0.2022580258942018,0.041860103607177734,134,13
RandomForest,17,"{'n_estimators': 50, 'max_depth': 8, 'min_samples_split': 3, 'random_state': 42}",0.9983057676846766,0.0008142111141725168,0.5132893230677046,0.03765811039988995,0.19405697719971304,0.11816600124745415,0.0438539981842041,134,13
RandomForest,18,"{'n_estimators': 50, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42}",0.9979096058413035,0.0011595472052471135,0.46238124987067764,0.04159700455520761,0.20395343722332215,0.12507349228300754,0.05295085906982422,134,13
