model,config_id,config,cv_mean,cv_std,test_r2,test_mse,test_rmse,test_mae,training_time,n_samples,n_features
RandomForest,1,"{'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 2, 'random_state': 42, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': False}",0.30893206781265325,0.007284060386170268,0.30932298597743413,0.021207964924220928,0.1456295468791307,0.10800718162225864,0.04293656349182129,2844,13
RandomForest,2,"{'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 3, 'random_state': 42, 'bootstrap': True}",0.3881378698623274,0.014417391490112558,0.39741034101051953,0.018503149941413298,0.136026284009427,0.10177988515832014,0.0756993293762207,2844,13
RandomForest,3,"{'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 4, 'random_state': 42, 'bootstrap': True}",0.3881378698623274,0.014417391490112558,0.39741034101051953,0.018503149941413298,0.136026284009427,0.10177988515832014,0.08306431770324707,2844,13
RandomForest,4,"{'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 5, 'random_state': 42, 'bootstrap': True}",0.3881378698623274,0.014417391490112558,0.39741034101051953,0.018503149941413298,0.136026284009427,0.10177988515832014,0.07627320289611816,2844,13
RandomForest,5,"{'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 6, 'random_state': 42, 'bootstrap': True}",0.3881378698623274,0.014417391490112558,0.39741034101051953,0.018503149941413298,0.136026284009427,0.10177988515832014,0.11686110496520996,2844,13
RandomForest,6,"{'n_estimators': 50, 'max_depth': 4, 'min_samples_split': 2, 'random_state': 42, 'bootstrap': True}",0.4687742142100043,0.014147663960339212,0.473621660110215,0.016163001146129743,0.12713379230609675,0.09394224015830756,0.08879208564758301,2844,13
RandomForest,7,"{'n_estimators': 50, 'max_depth': 4, 'min_samples_split': 3, 'random_state': 42, 'bootstrap': True}",0.4688052879746989,0.014119283043798808,0.473621660110215,0.016163001146129743,0.12713379230609675,0.09394224015830756,0.08973383903503418,2844,13
RandomForest,8,"{'n_estimators': 50, 'max_depth': 4, 'min_samples_split': 4, 'random_state': 42, 'bootstrap': True}",0.46881300269803045,0.014110803222692985,0.473621660110215,0.016163001146129743,0.12713379230609675,0.09394224015830756,0.09105992317199707,2844,13
RandomForest,9,"{'n_estimators': 50, 'max_depth': 4, 'min_samples_split': 5, 'random_state': 42, 'min_samples_leaf': 1, 'bootstrap': True}",0.46880713546775254,0.014112771505154212,0.473621660110215,0.016163001146129743,0.12713379230609675,0.09394224015830756,0.08687281608581543,2844,13
RandomForest,10,"{'n_estimators': 50, 'max_depth': 4, 'min_samples_split': 6, 'random_state': 42, 'bootstrap': True}",0.46879858378331685,0.014009699228276303,0.473621660110215,0.016163001146129743,0.12713379230609675,0.09394224015830756,0.08713221549987793,2844,13
